participant_id,explanation_type,construct,mean_rating,n_ratings,explanation_type_name
P001,A,perceived_effectiveness,5.875,8,Rule-based decision path
P001,A,satisfaction,5.125,8,Rule-based decision path
P001,A,trust,5.125,8,Rule-based decision path
P001,A,usability_understandability,5.125,8,Rule-based decision path
P001,B,perceived_effectiveness,5.0,7,Local feature-attribution / key-factor explanation
P001,B,satisfaction,4.428571428571429,7,Local feature-attribution / key-factor explanation
P001,B,trust,4.857142857142857,7,Local feature-attribution / key-factor explanation
P001,B,usability_understandability,4.571428571428571,7,Local feature-attribution / key-factor explanation
P001,C,perceived_effectiveness,6.0,7,Counterfactual explanation
P001,C,satisfaction,5.285714285714286,7,Counterfactual explanation
P001,C,trust,5.571428571428571,7,Counterfactual explanation
P001,C,usability_understandability,4.857142857142857,7,Counterfactual explanation
P001,D,perceived_effectiveness,6.375,8,LLM natural-language explanation
P001,D,satisfaction,5.875,8,LLM natural-language explanation
P001,D,trust,5.625,8,LLM natural-language explanation
P001,D,usability_understandability,6.125,8,LLM natural-language explanation
P001,E,perceived_effectiveness,6.5,10,Doctor-written-style explanation
P001,E,satisfaction,5.9,10,Doctor-written-style explanation
P001,E,trust,5.7,10,Doctor-written-style explanation
P001,E,usability_understandability,6.2,10,Doctor-written-style explanation
P002,A,perceived_effectiveness,3.5555555555555554,9,Rule-based decision path
P002,A,satisfaction,3.6666666666666665,9,Rule-based decision path
P002,A,trust,3.6666666666666665,9,Rule-based decision path
P002,A,usability_understandability,4.0,9,Rule-based decision path
P002,B,perceived_effectiveness,5.125,8,Local feature-attribution / key-factor explanation
P002,B,satisfaction,5.0,8,Local feature-attribution / key-factor explanation
P002,B,trust,5.0,8,Local feature-attribution / key-factor explanation
P002,B,usability_understandability,5.875,8,Local feature-attribution / key-factor explanation
P002,C,perceived_effectiveness,2.6666666666666665,6,Counterfactual explanation
P002,C,satisfaction,3.3333333333333335,6,Counterfactual explanation
P002,C,trust,3.0,6,Counterfactual explanation
P002,C,usability_understandability,3.0,6,Counterfactual explanation
P002,D,perceived_effectiveness,4.142857142857143,7,LLM natural-language explanation
P002,D,satisfaction,5.285714285714286,7,LLM natural-language explanation
P002,D,trust,5.285714285714286,7,LLM natural-language explanation
P002,D,usability_understandability,5.0,6,LLM natural-language explanation
P002,E,perceived_effectiveness,5.333333333333333,6,Doctor-written-style explanation
P002,E,satisfaction,5.666666666666667,6,Doctor-written-style explanation
P002,E,trust,5.666666666666667,6,Doctor-written-style explanation
P002,E,usability_understandability,5.333333333333333,6,Doctor-written-style explanation
P004,A,perceived_effectiveness,6.625,8,Rule-based decision path
P004,A,satisfaction,6.625,8,Rule-based decision path
P004,A,trust,6.625,8,Rule-based decision path
P004,A,usability_understandability,6.5,8,Rule-based decision path
P004,B,perceived_effectiveness,6.375,8,Local feature-attribution / key-factor explanation
P004,B,satisfaction,5.875,8,Local feature-attribution / key-factor explanation
P004,B,trust,6.0,8,Local feature-attribution / key-factor explanation
P004,B,usability_understandability,6.375,8,Local feature-attribution / key-factor explanation
P004,C,perceived_effectiveness,5.0,8,Counterfactual explanation
P004,C,satisfaction,5.0,8,Counterfactual explanation
P004,C,trust,4.875,8,Counterfactual explanation
P004,C,usability_understandability,4.875,8,Counterfactual explanation
P004,D,perceived_effectiveness,4.375,8,LLM natural-language explanation
P004,D,satisfaction,3.75,8,LLM natural-language explanation
P004,D,trust,3.5,8,LLM natural-language explanation
P004,D,usability_understandability,4.375,8,LLM natural-language explanation
P004,E,perceived_effectiveness,5.875,8,Doctor-written-style explanation
P004,E,satisfaction,5.875,8,Doctor-written-style explanation
P004,E,trust,6.375,8,Doctor-written-style explanation
P004,E,usability_understandability,6.375,8,Doctor-written-style explanation
P005,A,perceived_effectiveness,6.714285714285714,7,Rule-based decision path
P005,A,satisfaction,7.0,7,Rule-based decision path
P005,A,trust,7.0,7,Rule-based decision path
P005,A,usability_understandability,6.428571428571429,7,Rule-based decision path
P005,B,perceived_effectiveness,5.875,8,Local feature-attribution / key-factor explanation
P005,B,satisfaction,5.5,8,Local feature-attribution / key-factor explanation
P005,B,trust,5.5,8,Local feature-attribution / key-factor explanation
P005,B,usability_understandability,5.625,8,Local feature-attribution / key-factor explanation
P005,C,perceived_effectiveness,5.0,8,Counterfactual explanation
P005,C,satisfaction,4.25,8,Counterfactual explanation
P005,C,trust,4.714285714285714,7,Counterfactual explanation
P005,C,usability_understandability,4.125,8,Counterfactual explanation
P005,D,perceived_effectiveness,4.5,8,LLM natural-language explanation
P005,D,satisfaction,4.125,8,LLM natural-language explanation
P005,D,trust,4.25,8,LLM natural-language explanation
P005,D,usability_understandability,3.875,8,LLM natural-language explanation
P005,E,perceived_effectiveness,6.0,7,Doctor-written-style explanation
P005,E,satisfaction,5.857142857142857,7,Doctor-written-style explanation
P005,E,trust,6.428571428571429,7,Doctor-written-style explanation
P005,E,usability_understandability,6.0,7,Doctor-written-style explanation
P006,A,perceived_effectiveness,6.75,8,Rule-based decision path
P006,A,satisfaction,6.875,8,Rule-based decision path
P006,A,trust,6.75,8,Rule-based decision path
P006,A,usability_understandability,6.5,8,Rule-based decision path
P006,B,perceived_effectiveness,5.428571428571429,7,Local feature-attribution / key-factor explanation
P006,B,satisfaction,5.285714285714286,7,Local feature-attribution / key-factor explanation
P006,B,trust,5.285714285714286,7,Local feature-attribution / key-factor explanation
P006,B,usability_understandability,5.142857142857143,7,Local feature-attribution / key-factor explanation
P006,C,perceived_effectiveness,4.75,8,Counterfactual explanation
P006,C,satisfaction,4.75,8,Counterfactual explanation
P006,C,trust,4.75,8,Counterfactual explanation
P006,C,usability_understandability,4.625,8,Counterfactual explanation
P006,D,perceived_effectiveness,3.2857142857142856,7,LLM natural-language explanation
P006,D,satisfaction,3.4285714285714284,7,LLM natural-language explanation
P006,D,trust,3.2857142857142856,7,LLM natural-language explanation
P006,D,usability_understandability,3.7142857142857144,7,LLM natural-language explanation
P006,E,perceived_effectiveness,6.25,8,Doctor-written-style explanation
P006,E,satisfaction,6.375,8,Doctor-written-style explanation
P006,E,trust,6.75,8,Doctor-written-style explanation
P006,E,usability_understandability,6.25,8,Doctor-written-style explanation
P007,A,perceived_effectiveness,5.0,7,Rule-based decision path
P007,A,satisfaction,5.142857142857143,7,Rule-based decision path
P007,A,trust,5.0,7,Rule-based decision path
P007,A,usability_understandability,5.428571428571429,7,Rule-based decision path
P007,B,perceived_effectiveness,4.285714285714286,7,Local feature-attribution / key-factor explanation
P007,B,satisfaction,4.285714285714286,7,Local feature-attribution / key-factor explanation
P007,B,trust,4.142857142857143,7,Local feature-attribution / key-factor explanation
P007,B,usability_understandability,4.571428571428571,7,Local feature-attribution / key-factor explanation
P007,C,perceived_effectiveness,5.125,8,Counterfactual explanation
P007,C,satisfaction,4.5,8,Counterfactual explanation
P007,C,trust,4.75,8,Counterfactual explanation
P007,C,usability_understandability,4.75,8,Counterfactual explanation
P007,D,perceived_effectiveness,4.857142857142857,7,LLM natural-language explanation
P007,D,satisfaction,4.857142857142857,7,LLM natural-language explanation
P007,D,trust,4.857142857142857,7,LLM natural-language explanation
P007,D,usability_understandability,4.857142857142857,7,LLM natural-language explanation
P007,E,perceived_effectiveness,4.25,8,Doctor-written-style explanation
P007,E,satisfaction,5.375,8,Doctor-written-style explanation
P007,E,trust,4.75,8,Doctor-written-style explanation
P007,E,usability_understandability,4.875,8,Doctor-written-style explanation
P008,A,perceived_effectiveness,6.5,8,Rule-based decision path
P008,A,satisfaction,7.0,8,Rule-based decision path
P008,A,trust,7.0,8,Rule-based decision path
P008,A,usability_understandability,7.0,8,Rule-based decision path
P008,B,perceived_effectiveness,5.625,8,Local feature-attribution / key-factor explanation
P008,B,satisfaction,4.875,8,Local feature-attribution / key-factor explanation
P008,B,trust,4.875,8,Local feature-attribution / key-factor explanation
P008,B,usability_understandability,5.25,8,Local feature-attribution / key-factor explanation
P008,C,perceived_effectiveness,4.625,8,Counterfactual explanation
P008,C,satisfaction,4.375,8,Counterfactual explanation
P008,C,trust,3.875,8,Counterfactual explanation
P008,C,usability_understandability,4.5,8,Counterfactual explanation
P008,D,perceived_effectiveness,3.25,8,LLM natural-language explanation
P008,D,satisfaction,3.125,8,LLM natural-language explanation
P008,D,trust,2.375,8,LLM natural-language explanation
P008,D,usability_understandability,3.25,8,LLM natural-language explanation
P008,E,perceived_effectiveness,5.75,8,Doctor-written-style explanation
P008,E,satisfaction,6.75,8,Doctor-written-style explanation
P008,E,trust,6.875,8,Doctor-written-style explanation
P008,E,usability_understandability,6.125,8,Doctor-written-style explanation
P009,A,perceived_effectiveness,6.875,8,Rule-based decision path
P009,A,satisfaction,7.0,8,Rule-based decision path
P009,A,trust,7.0,8,Rule-based decision path
P009,A,usability_understandability,7.0,8,Rule-based decision path
P009,B,perceived_effectiveness,5.25,8,Local feature-attribution / key-factor explanation
P009,B,satisfaction,4.5,8,Local feature-attribution / key-factor explanation
P009,B,trust,4.625,8,Local feature-attribution / key-factor explanation
P009,B,usability_understandability,4.75,8,Local feature-attribution / key-factor explanation
P009,C,perceived_effectiveness,3.625,8,Counterfactual explanation
P009,C,satisfaction,3.375,8,Counterfactual explanation
P009,C,trust,3.0,8,Counterfactual explanation
P009,C,usability_understandability,4.125,8,Counterfactual explanation
P009,D,perceived_effectiveness,3.2857142857142856,7,LLM natural-language explanation
P009,D,satisfaction,3.142857142857143,7,LLM natural-language explanation
P009,D,trust,2.857142857142857,7,LLM natural-language explanation
P009,D,usability_understandability,2.857142857142857,7,LLM natural-language explanation
P009,E,perceived_effectiveness,6.0,8,Doctor-written-style explanation
P009,E,satisfaction,6.875,8,Doctor-written-style explanation
P009,E,trust,7.0,8,Doctor-written-style explanation
P009,E,usability_understandability,6.0,8,Doctor-written-style explanation
P010,A,perceived_effectiveness,7.0,8,Rule-based decision path
P010,A,satisfaction,6.875,8,Rule-based decision path
P010,A,trust,7.0,8,Rule-based decision path
P010,A,usability_understandability,7.0,8,Rule-based decision path
P010,B,perceived_effectiveness,5.0,8,Local feature-attribution / key-factor explanation
P010,B,satisfaction,4.625,8,Local feature-attribution / key-factor explanation
P010,B,trust,5.0,8,Local feature-attribution / key-factor explanation
P010,B,usability_understandability,4.875,8,Local feature-attribution / key-factor explanation
P010,C,perceived_effectiveness,3.625,8,Counterfactual explanation
P010,C,satisfaction,3.375,8,Counterfactual explanation
P010,C,trust,3.5,8,Counterfactual explanation
P010,C,usability_understandability,3.625,8,Counterfactual explanation
P010,D,perceived_effectiveness,2.75,8,LLM natural-language explanation
P010,D,satisfaction,2.875,8,LLM natural-language explanation
P010,D,trust,2.875,8,LLM natural-language explanation
P010,D,usability_understandability,2.375,8,LLM natural-language explanation
P010,E,perceived_effectiveness,6.125,8,Doctor-written-style explanation
P010,E,satisfaction,6.875,8,Doctor-written-style explanation
P010,E,trust,6.875,8,Doctor-written-style explanation
P010,E,usability_understandability,6.125,8,Doctor-written-style explanation
P011,A,perceived_effectiveness,6.375,8,Rule-based decision path
P011,A,satisfaction,7.0,8,Rule-based decision path
P011,A,trust,7.0,8,Rule-based decision path
P011,A,usability_understandability,7.0,8,Rule-based decision path
P011,B,perceived_effectiveness,5.0,8,Local feature-attribution / key-factor explanation
P011,B,satisfaction,4.5,8,Local feature-attribution / key-factor explanation
P011,B,trust,4.75,8,Local feature-attribution / key-factor explanation
P011,B,usability_understandability,4.625,8,Local feature-attribution / key-factor explanation
P011,C,perceived_effectiveness,4.625,8,Counterfactual explanation
P011,C,satisfaction,4.5,8,Counterfactual explanation
P011,C,trust,4.125,8,Counterfactual explanation
P011,C,usability_understandability,4.5,8,Counterfactual explanation
P011,D,perceived_effectiveness,3.0,8,LLM natural-language explanation
P011,D,satisfaction,3.625,8,LLM natural-language explanation
P011,D,trust,2.625,8,LLM natural-language explanation
P011,D,usability_understandability,2.875,8,LLM natural-language explanation
P011,E,perceived_effectiveness,6.0,8,Doctor-written-style explanation
P011,E,satisfaction,6.75,8,Doctor-written-style explanation
P011,E,trust,7.0,8,Doctor-written-style explanation
P011,E,usability_understandability,6.0,8,Doctor-written-style explanation
P012,A,perceived_effectiveness,6.25,8,Rule-based decision path
P012,A,satisfaction,7.0,8,Rule-based decision path
P012,A,trust,7.0,8,Rule-based decision path
P012,A,usability_understandability,7.0,8,Rule-based decision path
P012,B,perceived_effectiveness,4.5,8,Local feature-attribution / key-factor explanation
P012,B,satisfaction,4.375,8,Local feature-attribution / key-factor explanation
P012,B,trust,3.875,8,Local feature-attribution / key-factor explanation
P012,B,usability_understandability,4.875,8,Local feature-attribution / key-factor explanation
P012,C,perceived_effectiveness,3.625,8,Counterfactual explanation
P012,C,satisfaction,4.0,8,Counterfactual explanation
P012,C,trust,4.125,8,Counterfactual explanation
P012,C,usability_understandability,3.375,8,Counterfactual explanation
P012,D,perceived_effectiveness,3.375,8,LLM natural-language explanation
P012,D,satisfaction,3.375,8,LLM natural-language explanation
P012,D,trust,3.125,8,LLM natural-language explanation
P012,D,usability_understandability,3.625,8,LLM natural-language explanation
P012,E,perceived_effectiveness,6.125,8,Doctor-written-style explanation
P012,E,satisfaction,6.875,8,Doctor-written-style explanation
P012,E,trust,6.875,8,Doctor-written-style explanation
P012,E,usability_understandability,6.125,8,Doctor-written-style explanation
P013,A,perceived_effectiveness,6.375,8,Rule-based decision path
P013,A,satisfaction,6.875,8,Rule-based decision path
P013,A,trust,7.0,8,Rule-based decision path
P013,A,usability_understandability,6.75,8,Rule-based decision path
P013,B,perceived_effectiveness,5.5,8,Local feature-attribution / key-factor explanation
P013,B,satisfaction,4.25,8,Local feature-attribution / key-factor explanation
P013,B,trust,4.625,8,Local feature-attribution / key-factor explanation
P013,B,usability_understandability,4.875,8,Local feature-attribution / key-factor explanation
P013,C,perceived_effectiveness,4.555555555555555,9,Counterfactual explanation
P013,C,satisfaction,4.222222222222222,9,Counterfactual explanation
P013,C,trust,4.222222222222222,9,Counterfactual explanation
P013,C,usability_understandability,4.222222222222222,9,Counterfactual explanation
P013,D,perceived_effectiveness,4.0,6,LLM natural-language explanation
P013,D,satisfaction,3.6666666666666665,6,LLM natural-language explanation
P013,D,trust,4.0,6,LLM natural-language explanation
P013,D,usability_understandability,3.6666666666666665,6,LLM natural-language explanation
P013,E,perceived_effectiveness,6.375,8,Doctor-written-style explanation
P013,E,satisfaction,6.75,8,Doctor-written-style explanation
P013,E,trust,6.625,8,Doctor-written-style explanation
P013,E,usability_understandability,6.0,8,Doctor-written-style explanation
P014,A,perceived_effectiveness,7.0,9,Rule-based decision path
P014,A,satisfaction,7.0,9,Rule-based decision path
P014,A,trust,7.0,9,Rule-based decision path
P014,A,usability_understandability,6.444444444444445,9,Rule-based decision path
P014,B,perceived_effectiveness,5.714285714285714,7,Local feature-attribution / key-factor explanation
P014,B,satisfaction,4.857142857142857,7,Local feature-attribution / key-factor explanation
P014,B,trust,4.714285714285714,7,Local feature-attribution / key-factor explanation
P014,B,usability_understandability,5.285714285714286,7,Local feature-attribution / key-factor explanation
P014,C,perceived_effectiveness,4.875,8,Counterfactual explanation
P014,C,satisfaction,4.5,8,Counterfactual explanation
P014,C,trust,4.875,8,Counterfactual explanation
P014,C,usability_understandability,4.375,8,Counterfactual explanation
P014,D,perceived_effectiveness,3.3333333333333335,9,LLM natural-language explanation
P014,D,satisfaction,3.888888888888889,9,LLM natural-language explanation
P014,D,trust,3.111111111111111,9,LLM natural-language explanation
P014,D,usability_understandability,3.6666666666666665,9,LLM natural-language explanation
P014,E,perceived_effectiveness,6.285714285714286,7,Doctor-written-style explanation
P014,E,satisfaction,6.857142857142857,7,Doctor-written-style explanation
P014,E,trust,6.714285714285714,7,Doctor-written-style explanation
P014,E,usability_understandability,6.0,7,Doctor-written-style explanation
P015,A,perceived_effectiveness,6.75,8,Rule-based decision path
P015,A,satisfaction,6.875,8,Rule-based decision path
P015,A,trust,6.875,8,Rule-based decision path
P015,A,usability_understandability,6.5,8,Rule-based decision path
P015,B,perceived_effectiveness,4.25,8,Local feature-attribution / key-factor explanation
P015,B,satisfaction,4.125,8,Local feature-attribution / key-factor explanation
P015,B,trust,3.875,8,Local feature-attribution / key-factor explanation
P015,B,usability_understandability,4.625,8,Local feature-attribution / key-factor explanation
P015,C,perceived_effectiveness,4.5,8,Counterfactual explanation
P015,C,satisfaction,4.5,8,Counterfactual explanation
P015,C,trust,4.375,8,Counterfactual explanation
P015,C,usability_understandability,4.25,8,Counterfactual explanation
P015,D,perceived_effectiveness,3.625,8,LLM natural-language explanation
P015,D,satisfaction,3.125,8,LLM natural-language explanation
P015,D,trust,2.625,8,LLM natural-language explanation
P015,D,usability_understandability,2.625,8,LLM natural-language explanation
P015,E,perceived_effectiveness,6.625,8,Doctor-written-style explanation
P015,E,satisfaction,6.625,8,Doctor-written-style explanation
P015,E,trust,6.5,8,Doctor-written-style explanation
P015,E,usability_understandability,6.25,8,Doctor-written-style explanation
P016,A,perceived_effectiveness,6.857142857142857,7,Rule-based decision path
P016,A,satisfaction,7.0,7,Rule-based decision path
P016,A,trust,7.0,7,Rule-based decision path
P016,A,usability_understandability,6.428571428571429,7,Rule-based decision path
P016,B,perceived_effectiveness,4.25,8,Local feature-attribution / key-factor explanation
P016,B,satisfaction,4.375,8,Local feature-attribution / key-factor explanation
P016,B,trust,4.625,8,Local feature-attribution / key-factor explanation
P016,B,usability_understandability,4.875,8,Local feature-attribution / key-factor explanation
P016,C,perceived_effectiveness,4.0,8,Counterfactual explanation
P016,C,satisfaction,4.625,8,Counterfactual explanation
P016,C,trust,4.125,8,Counterfactual explanation
P016,C,usability_understandability,4.625,8,Counterfactual explanation
P016,D,perceived_effectiveness,3.0,8,LLM natural-language explanation
P016,D,satisfaction,3.125,8,LLM natural-language explanation
P016,D,trust,2.375,8,LLM natural-language explanation
P016,D,usability_understandability,2.625,8,LLM natural-language explanation
P016,E,perceived_effectiveness,6.625,8,Doctor-written-style explanation
P016,E,satisfaction,6.5,8,Doctor-written-style explanation
P016,E,trust,6.25,8,Doctor-written-style explanation
P016,E,usability_understandability,6.25,8,Doctor-written-style explanation
P017,A,perceived_effectiveness,6.875,8,Rule-based decision path
P017,A,satisfaction,7.0,8,Rule-based decision path
P017,A,trust,7.0,8,Rule-based decision path
P017,A,usability_understandability,6.125,8,Rule-based decision path
P017,B,perceived_effectiveness,5.5,8,Local feature-attribution / key-factor explanation
P017,B,satisfaction,4.625,8,Local feature-attribution / key-factor explanation
P017,B,trust,4.0,8,Local feature-attribution / key-factor explanation
P017,B,usability_understandability,5.0,8,Local feature-attribution / key-factor explanation
P017,C,perceived_effectiveness,4.875,8,Counterfactual explanation
P017,C,satisfaction,4.25,8,Counterfactual explanation
P017,C,trust,4.25,8,Counterfactual explanation
P017,C,usability_understandability,3.875,8,Counterfactual explanation
P017,D,perceived_effectiveness,2.625,8,LLM natural-language explanation
P017,D,satisfaction,2.875,8,LLM natural-language explanation
P017,D,trust,2.5,8,LLM natural-language explanation
P017,D,usability_understandability,2.25,8,LLM natural-language explanation
P017,E,perceived_effectiveness,6.375,8,Doctor-written-style explanation
P017,E,satisfaction,6.25,8,Doctor-written-style explanation
P017,E,trust,6.5,8,Doctor-written-style explanation
P017,E,usability_understandability,6.25,8,Doctor-written-style explanation
P018,A,perceived_effectiveness,6.625,8,Rule-based decision path
P018,A,satisfaction,7.0,8,Rule-based decision path
P018,A,trust,7.0,8,Rule-based decision path
P018,A,usability_understandability,6.625,8,Rule-based decision path
P018,B,perceived_effectiveness,4.375,8,Local feature-attribution / key-factor explanation
P018,B,satisfaction,4.375,8,Local feature-attribution / key-factor explanation
P018,B,trust,3.875,8,Local feature-attribution / key-factor explanation
P018,B,usability_understandability,4.5,8,Local feature-attribution / key-factor explanation
P018,C,perceived_effectiveness,4.875,8,Counterfactual explanation
P018,C,satisfaction,3.75,8,Counterfactual explanation
P018,C,trust,4.25,8,Counterfactual explanation
P018,C,usability_understandability,4.375,8,Counterfactual explanation
P018,D,perceived_effectiveness,3.75,8,LLM natural-language explanation
P018,D,satisfaction,3.125,8,LLM natural-language explanation
P018,D,trust,3.0,8,LLM natural-language explanation
P018,D,usability_understandability,2.875,8,LLM natural-language explanation
P018,E,perceived_effectiveness,6.25,8,Doctor-written-style explanation
P018,E,satisfaction,6.125,8,Doctor-written-style explanation
P018,E,trust,7.0,8,Doctor-written-style explanation
P018,E,usability_understandability,6.25,8,Doctor-written-style explanation
P019,A,perceived_effectiveness,6.428571428571429,7,Rule-based decision path
P019,A,satisfaction,7.0,7,Rule-based decision path
P019,A,trust,7.0,7,Rule-based decision path
P019,A,usability_understandability,6.714285714285714,7,Rule-based decision path
P019,B,perceived_effectiveness,5.375,8,Local feature-attribution / key-factor explanation
P019,B,satisfaction,4.75,8,Local feature-attribution / key-factor explanation
P019,B,trust,4.625,8,Local feature-attribution / key-factor explanation
P019,B,usability_understandability,5.0,8,Local feature-attribution / key-factor explanation
P019,C,perceived_effectiveness,4.75,8,Counterfactual explanation
P019,C,satisfaction,4.25,8,Counterfactual explanation
P019,C,trust,4.125,8,Counterfactual explanation
P019,C,usability_understandability,4.125,8,Counterfactual explanation
P019,D,perceived_effectiveness,2.375,8,LLM natural-language explanation
P019,D,satisfaction,3.0,8,LLM natural-language explanation
P019,D,trust,2.0,8,LLM natural-language explanation
P019,D,usability_understandability,2.625,8,LLM natural-language explanation
P019,E,perceived_effectiveness,6.25,8,Doctor-written-style explanation
P019,E,satisfaction,6.125,8,Doctor-written-style explanation
P019,E,trust,6.5,8,Doctor-written-style explanation
P019,E,usability_understandability,6.25,8,Doctor-written-style explanation
P020,A,perceived_effectiveness,6.875,8,Rule-based decision path
P020,A,satisfaction,6.875,8,Rule-based decision path
P020,A,trust,6.625,8,Rule-based decision path
P020,A,usability_understandability,6.625,8,Rule-based decision path
P020,B,perceived_effectiveness,4.625,8,Local feature-attribution / key-factor explanation
P020,B,satisfaction,4.142857142857143,7,Local feature-attribution / key-factor explanation
P020,B,trust,4.571428571428571,7,Local feature-attribution / key-factor explanation
P020,B,usability_understandability,5.428571428571429,7,Local feature-attribution / key-factor explanation
P020,C,perceived_effectiveness,4.125,8,Counterfactual explanation
P020,C,satisfaction,4.25,8,Counterfactual explanation
P020,C,trust,3.75,8,Counterfactual explanation
P020,C,usability_understandability,4.125,8,Counterfactual explanation
P020,D,perceived_effectiveness,3.2857142857142856,7,LLM natural-language explanation
P020,D,satisfaction,2.5714285714285716,7,LLM natural-language explanation
P020,D,trust,2.4285714285714284,7,LLM natural-language explanation
P020,D,usability_understandability,2.2857142857142856,7,LLM natural-language explanation
P020,E,perceived_effectiveness,6.625,8,Doctor-written-style explanation
P020,E,satisfaction,6.5,8,Doctor-written-style explanation
P020,E,trust,6.625,8,Doctor-written-style explanation
P020,E,usability_understandability,6.25,8,Doctor-written-style explanation
P021,A,perceived_effectiveness,7.0,8,Rule-based decision path
P021,A,satisfaction,6.75,8,Rule-based decision path
P021,A,trust,6.875,8,Rule-based decision path
P021,A,usability_understandability,6.25,8,Rule-based decision path
P021,B,perceived_effectiveness,5.25,8,Local feature-attribution / key-factor explanation
P021,B,satisfaction,4.0,8,Local feature-attribution / key-factor explanation
P021,B,trust,4.125,8,Local feature-attribution / key-factor explanation
P021,B,usability_understandability,4.125,8,Local feature-attribution / key-factor explanation
P021,C,perceived_effectiveness,4.5,8,Counterfactual explanation
P021,C,satisfaction,4.125,8,Counterfactual explanation
P021,C,trust,4.0,8,Counterfactual explanation
P021,C,usability_understandability,3.75,8,Counterfactual explanation
P021,D,perceived_effectiveness,4.857142857142857,7,LLM natural-language explanation
P021,D,satisfaction,4.285714285714286,7,LLM natural-language explanation
P021,D,trust,3.857142857142857,7,LLM natural-language explanation
P021,D,usability_understandability,3.7142857142857144,7,LLM natural-language explanation
P021,E,perceived_effectiveness,6.5,8,Doctor-written-style explanation
P021,E,satisfaction,6.5,8,Doctor-written-style explanation
P021,E,trust,6.625,8,Doctor-written-style explanation
P021,E,usability_understandability,6.125,8,Doctor-written-style explanation
P022,A,perceived_effectiveness,6.75,8,Rule-based decision path
P022,A,satisfaction,6.125,8,Rule-based decision path
P022,A,trust,6.125,8,Rule-based decision path
P022,A,usability_understandability,6.75,8,Rule-based decision path
